Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
Palestinian Territories,4.696,1.247,0.672,0.225,0.103,0.066,,,,,,,,,,,,,,,,
Senegal,4.681,1.134,0.571,0.292,0.153,0.072,20,0.25,30.84,5.0,"$3,500",2.52,"9,860,000",70.25,19.4,-0.69,8.8,"18,384,660",906,"16,665",16.38,5.0
Somalia,4.668,0.698,0.268,0.559,0.243,0.27,52,0.0,37.71,11.43,"$1,100",2.49,"2,465,000",56.12,18.5,-1.42,8.3,"12,693,796",,"15,000",0.0,34.7
Namibia,4.639,1.313,0.477,0.401,0.07,0.056,112,2.38,24.68,6.64,"$9,100",1.8,"1,325,000",67.04,21.8,0.0,17.2,"2,777,232","2,628","48,875",31.17,40.4
Niger,4.628,0.774,0.366,0.318,0.188,0.102,30,0.11,46.86,9.66,"$1,200",3.66,"5,500,000",60.48,14.8,-0.62,5.5,"25,396,840",,"18,949",21.4,1.0
Burkina Faso,4.587,1.056,0.38,0.255,0.177,0.113,23,7.28,32.71,7.5,"$2,200",2.46,"4,840,000",63.82,17.9,-0.59,5.6,"22,489,126",622,"15,304",13.28,7.7
Armenia,4.559,1.055,0.815,0.283,0.095,0.064,7,3.77,10.8,9.54,"$14,200",-0.4,"2,212,000",76.4,36.6,-5.28,20.2,"2,989,091",686,"7,700",21.86,36.1
Iran,4.548,0.842,0.785,0.305,0.27,0.125,319,0.02,14.79,5.2,"$15,000",0.93,"69,520,000",75.44,31.7,-0.3,25.8,"87,590,873","8,483.5","223,485",17.3,27.2
Guinea,4.534,0.829,0.375,0.332,0.207,0.086,16,0.33,35.47,7.97,"$2,600",2.75,"4,900,000",64.27,19.1,0.0,7.7,"13,607,249","1,086","44,301",16.6,8.2
Georgia,4.519,0.666,0.752,0.346,0.043,0.164,22,7.45,10.79,10.76,"$15,500",0.01,"2,888,000",77.74,38.6,0.06,21.7,"4,936,390","1,363","20,295",21.41,28.3
Gambia,4.516,0.939,0.428,0.382,0.269,0.167,,,,,,,,,,,,,,,,
Kenya,4.509,0.983,0.581,0.431,0.372,0.053,197,1.68,26.01,4.95,"$4,700",2.09,"15,370,000",70.04,20.0,-0.19,7.1,"57,052,004","3,819","161,452",14.3,13.8
Mauritania,4.49,1.167,0.489,0.066,0.106,0.088,30,0.0,27.61,7.33,"$5,300",1.96,"2,714,000",65.57,21.0,-0.71,12.7,"4,244,878",728,"12,253",27.4,23.0
Mozambique,4.466,0.986,0.39,0.494,0.197,0.138,98,1.46,36.94,9.93,"$1,200",2.55,"5,440,000",57.7,17.0,-1.54,7.2,"32,513,805","4,787","31,083",21.84,8.1
Tunisia,4.461,1.0,0.815,0.167,0.059,0.055,29,1.51,14.05,6.38,"$10,400",0.63,"9,480,000",77.07,32.7,-1.33,26.9,"11,976,182","2,173",,24.7,38.3
Bangladesh,4.456,0.928,0.723,0.527,0.166,0.143,18,0.0,17.5,5.5,"$5,900",0.91,"66,300,000",74.96,27.9,-2.88,3.6,"167,184,465","2,460","369,105",7.0,14.7
Iraq,4.437,0.98,0.574,0.241,0.148,0.089,102,0.16,24.22,3.88,"$9,000",1.94,"21,560,000",73.45,21.2,-0.98,30.4,"41,266,109","2,272","59,623",1.34,27.2
Congo (Kinshasa),4.418,1.125,0.357,0.269,0.212,0.053,,,,,,,,,,,,,,,,
Mali,4.39,1.105,0.308,0.327,0.153,0.052,25,0.6,40.54,8.3,"$2,100",2.93,"7,480,000",62.81,16.0,-2.99,8.6,"21,359,722",593,"139,107",14.16,17.3
Sierra Leone,4.374,0.841,0.242,0.309,0.252,0.045,8,3.22,31.49,9.14,"$1,600",2.41,"1,047,499",59.07,19.1,1.72,8.7,"8,908,040",,"11,701",15.6,10.8
Sri Lanka,4.366,1.265,0.831,0.47,0.244,0.047,18,2.58,13.61,6.54,"$13,400",0.59,"14,740,000",78.24,33.7,-1.21,5.2,"23,326,272","1,562","114,093",7.68,26.1
Myanmar,4.36,1.181,0.555,0.525,0.566,0.172,,,,,,,,,,,,,,,,
Chad,4.35,0.766,0.192,0.174,0.198,0.078,59,0.55,39.85,9.21,"$1,400",3.05,"3,060,000",59.57,16.1,-0.12,6.1,"18,523,165",,"40,000",13.5,2.4
Ukraine,4.332,1.39,0.739,0.178,0.187,0.01,215,5.69,8.79,13.7,"$12,900",-0.52,"3,239,000",73.72,41.2,-0.27,24.1,"43,306,477","21,733","169,694",19.15,16.5
Ethiopia,4.286,1.033,0.532,0.344,0.209,0.1,57,1.16,29.97,5.6,"$2,300",2.42,"20,400,000",68.59,19.8,-0.19,4.5,"116,462,712",659,"120,171",6.2,5.7
Swaziland,4.212,1.149,0.0,0.313,0.074,0.135,,,,,,,,,,,,,,,,
Uganda,4.189,1.069,0.443,0.356,0.252,0.06,47,6.82,40.27,4.87,"$2,200",3.22,"4,600,000",69.32,15.7,-3.16,5.3,"47,729,952","1,244","20,544",11.39,4.3
Egypt,4.166,1.039,0.644,0.241,0.076,0.067,83,0.14,20.48,4.32,"$11,600",1.59,"79,200,000",74.72,24.1,-0.29,32.0,"109,546,720","5,085","65,050",17.9,24.3
Zambia,4.107,1.058,0.426,0.431,0.247,0.087,88,3.82,34.48,6.02,"$3,200",2.86,"3,990,000",66.6,16.9,0.16,8.1,"20,216,029","3,126","67,671",16.44,26.1
Togo,4.085,0.572,0.41,0.293,0.177,0.085,8,1.4,31.39,5.16,"$2,100",2.45,"3,010,000",71.71,20.0,-1.77,8.4,"8,703,961",568,"9,951",13.16,9.7
